time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
47.5,0.033475366925013,0.041099048733359,-0.0076236818083456,-0.00060619276612932,0.37029904007009,34.591818939864,0.036333320002747,0.43869402946614,0.49519489360923,0.13647748511473,0.0034159799525182,0,0
47.75,0.030110916077826,0.038115710675565,-0.0080047945977396,-0.00065279176171105,0.37043891944564,-6.3279111874886,0.032714843410327,0.44818344273842,0.49519496457971,0.12912326775467,0.0033914979951605,0,0
48,0.023942559899169,0.030976639141111,-0.0070340792419426,-0.00062097512270971,0.37056141991841,-50.205425288477,0.023907213080917,0.45191930880322,0.49519505854025,0.12743926871952,0.0033660855766083,0,0
48.25,0.019793672232142,0.02773330045965,-0.007939628227508,-0.0004766560530297,0.37068146103959,-94.513417796029,0.019658791676846,0.4505740332481,0.49519519127313,0.13044662662958,0.0033022848968079,0,0
48.5,0.01658778394226,0.025635690944246,-0.009047907001986,-0.00020150294614183,0.37081172997177,-135.91876003649,0.018374299037171,0.44485123233994,0.49519539041208,0.13735408926476,0.0032592525607579,0,0
48.75,0.0089816672341705,0.018159604398397,-0.0091779371642263,0.00015227651627882,0.37095731219703,-170.19509539649,0.011700450835558,0.43672036213842,0.49519565848014,0.14501550799972,0.0032100071324713,0,0
49,0.0065740951989132,0.014996841320291,-0.0084227461213774,0.00049552447735066,0.37112304671212,-192.88180494078,0.0086931828054303,0.42940068144725,0.49519595520358,0.15084012714543,0.0031680623730424,0,0
49.25,0.0073776545956304,0.013930029502044,-0.0065523749064138,0.00075948735202784,0.37131309937685,-200.65178241672,0.0096678952849582,0.424069712928,0.49519621718401,0.15462237911796,0.0031263580664188,0,0
49.5,0.0021378572811415,0.012598741662682,-0.010460884381541,0.00090551719576315,0.37150440853142,-192.79699747466,0.0077831478699311,0.42032934649869,0.49519639608287,0.15724977138748,0.0030816386636848,0,0
49.75,0.006620842922734,0.011237526325685,-0.0046166834029509,0.00092049235117782,0.37168930846266,-172.10075445938,0.010213857298573,0.4158082064895,0.49519648058383,0.16215926413447,0.0031521605938357,0,0
50,0.0097405028348935,0.013198022572701,-0.0034575197378073,0.00080406181501091,0.37190057570599,-144.55516521275,0.011077595473878,0.40807420261792,0.49519648742972,0.17167042264905,0.0032183252596438,0,0
